Dataset_id	MZML_file_name	Species	Project_id
IPX0005864000	data07_Haima_mem_F7.mzML	Mouse	26
IPX0005864000	data03_Haima_mem_F3.mzML	Mouse	26
IPX0005864000	data05_Haima_mem_F5.mzML	Mouse	26
IPX0005864000	data04_Haima_mem_F4.mzML	Mouse	26
IPX0005864000	data06_Haima_mem_F6.mzML	Mouse	26
PXD042298	F4_1.mzML	Mouse	33
PXD042298	F4_2.mzML	Mouse	33
PXD042298	F1_1.mzML	Mouse	33
PXD042298	Single_shot_BeforeSEC.mzML	Mouse	33
PXD042298	F1_2.mzML	Mouse	33
PXD042298	F2_1.mzML	Mouse	33
PXD042298	F3_2.mzML	Mouse	33
PXD042298	F2_2.mzML	Mouse	33
PXD042298	F3_1.mzML	Mouse	33
PXD051505	Mit_Old3_T2.mzML	Mouse	32
PXD051505	Mit_Old3_T1.mzML	Mouse	32
PXD051505	Mit_Old2_T1.mzML	Mouse	32
PXD051505	Mit_Old2_T2.mzML	Mouse	32
PXD051505	Mit_Old1_T2.mzML	Mouse	32
PXD051505	Mit_Old1_T1.mzML	Mouse	32
PXD051505	Mit_Young3_T2.mzML	Mouse	32
PXD051505	Mit_Young2_T1.mzML	Mouse	32
PXD051505	Mit_Young2_T2.mzML	Mouse	32
PXD051505	Mit_Young3_T1.mzML	Mouse	32
PXD051505	Mit_Young1_T1.mzML	Mouse	32
PXD051505	Mit_Young1_T2.mzML	Mouse	32
MSV000092097	T1D_TD_PE33-7_WT_F_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_BC228-4_KO_M_1_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_BC228-3_WT_M_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_BC228-4_KO_M_3_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_BC228-4_KO_M_4_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_BC228-4_KO_M_2_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_PE32-3_WT_M_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000092097	T1D_TD_PE33-5_WT_F_Aragorn_02Apr21_21-02-01.mzML	Mouse	13
MSV000093727	Alz_DiffSol_Comp_Mouse1_RH_Urea_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_LH_Urea_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse3_LH_Urea_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_LH_Urea_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
